1,"0","Шут","Старший Аркан","Следите за новыми проектами и новыми начинаниями","Приготовьтесь принять что-то на веру","На вашем пути появляется что-то новое; дерзайте",""
2,"1","Маг","Старший Аркан","Могущественный мужчина может сыграть роль в твоем дне","Ваша текущая ситуация должна рассматриваться как один из элементов гораздо большего плана","",""
3,"2","Верховная жрица","Старший Аркан","Приходит загадочная женщина","Может всплыть сексуальная тайна","Кто-то знает больше, чем он или она скрывает",""
4,"3","Императрица","Старший Аркан","Беременность в картах","Приближается возможность окунуться в роскошную сексуальность","Остерегайтесь склонности к зависимости",""
5,"4","Император","Старший Аркан","Приходит фигура отца","Новый работодатель или авторитет будет отдавать вам распоряжения","Ожидайте дисциплины или исправления в ближайшем будущем",""
6,"5","Верховный жрец","Старший Аркан","Ожидайте, что вас поймают на проступке и понесут соответствующее наказание","Молитесь о прощении и признайтесь в проступках","В вашу жизнь войдет более опытный человек, духовный лидер или отец",""
7,"6","Влюбленные","Старший Аркан","Расцветают новые личные или профессиональные отношения","Сексуальных возможностей предостаточно","Неожиданно друг становится любовником",""
8,"7","Колесница","Старший Аркан","Будьте уверенны в Победе","Продвигайтесь вперед со всеми планами","Остерегайтесь ревности других",""
9,"8","Сила","Старший Аркан","Ваше самообладание будет проверено","Женщина будет стремиться изменить своего партнера или любовника","Ты сильный, способный человек",""
10,"9","Отшельник","Старший Аркан","Начинается период одиночества","Уходит один партнер в отношениях","Поиск любви или денег бесплоден",""
11,"10","Колесо Фортуны","Старший Аркан","Некоторые события в руках неба","Вы уже пережили это раньше","Что случится потом?",""
12,"11","Правосудие","Старший Аркан","Скоро будет вынесен приговор","Кто-то принимает решение","Вам нужно получить факты",""
13,"12","Повешенный","Старший Аркан","Обнаружен предатель","Один из твоих друзей работает против тебя","Измените свой образ жизни или пострадайте от последствий",""
14,"13","Смерть","Старший Аркан","Отношения или болезнь внезапно заканчиваются","Ограничьте поездки и риск","Всеобщий мрак и гибель",""
15,"14","Умеренность","Старший Аркан","Кто-то чрезмерно употребляет наркотики или алкоголь","Пора вернуться к этой диете","",""
16,"15","Дьявол","Старший Аркан","Прелюбодеяние и измена","Вам предстоит череда крайне невезений","Остерегайтесь злых влияний и волков в овечьей шкуре",""
17,"16","Башня","Старший Аркан","Надвигающаяся катастрофа","Отменить планы и отменить решения","Кто-то хочет поставить вас на ступеньку ниже","Не сдерживайся; говори то, что имеешь в виду на самом деле"
18,"17","Звезда","Старший Аркан","Составьте астрологическую карту","Кто-то слишком поражен звездным небом","То, что происходит сейчас, давно предопределено",""
19,"18","Луна","Старший Аркан","Следите за проблемами в конце месяца","Кому-то, кого вы знаете, нужно чаще выть на луну","Кто-то собирается изменить свое мнение по поводу важного решения",""
20,"19","Солнце","Старший Аркан","Все вырастают розы (или подсолнухи, в любом случае)","Что бы вы ни думали, дерзайте, потому что сегодня вы не можете проиграть","",""
21,"20","Страшный суд","Старший Аркан","Старая проблема, о которой вы думали, будет решена сегодня снова","Будьте готовы к огромным переменам: разрывам отношений, внезапным звонкам старых друзей и неожиданным неудачам","Бог пытается привлечь ваше внимание",""
22,"21","Мир","Старший Аркан","Выигрыш в лотерею","Получение заветного желания","Имея все, что вы когда-либо представляли",""
23,"1","Туз кубков","Кубки","Романтика в картах","Новые отношения или брак не за горами","Ответы на молитвы",""
24,"2","2 кубков","Кубки","Кто-то втайне влюблен в вас","Отношения должны быть взаимными; избавься от пиявки","",""
25,"3","3 кубков","Кубки","На вашем пути нетрадиционный роман: роман с тем, кого вы всегда отвергали","","",""
26,"4","4 кубков","Кубки","Возлюбленный становится беспокойным","Узнайте, что ему или ей нужно, иначе новые возможности могут переманить вашего партнера","",""
27,"5","5 кубков","Кубки","Надвигается разрыв","Не плачь над пролитым молоком","Возьми свои шишки и возвращайся в седло",""
28,"6","6 кубков","Кубки","Скупой дух душит твои радости жизни","Расслабься и подумай хоть раз о других, почему бы и нет?","",""
29,"7","7 кубков","Кубки","Тебя кормят строчкой","Вместо того, чтобы восхищаться красивыми словами и обещаниями, требуйте чего-то настоящего","",""
30,"8","8 кубков","Кубки","Кто-то наступит на вас сейчас или в ближайшем будущем","Может, пора перестать говорить о проблеме и просто двигаться дальше","",""
31,"9","9 кубков","Кубки","Все, что ты хочешь, ты получишь","","",""
32,"10","10 кубков","Кубки","Брак и семья в картах","Ожидайте, что дружба перерастет в роман","",""
33,"11","Паж кубков","Кубки","На этой карте изображен молодой мужчина или женщина с водянистой мечтательной манерой поведения, вероятно, рожденные Весами, Скорпионом или Стрельцом, которые хотят начать с вами новые отношения","","",""
34,"12","Рыцарь кубков","Кубки","На этой карте изображен эмоциональный, чувствительный человек, родившийся с 13 октября по 11 ноября, который хочет, чтобы вы сплотились вокруг его последнего страстного дела","","",""
35,"13","Королева кубков","Кубки","Эта карта представляет женщину с эмоциональной, глубоко духовной натурой, которая, вероятно, родилась между 11 июня и 11 июля, которая использует эмоциональные и духовные призывы, чтобы склонить других к своей точке зрения","","",""
36,"14","Король кубков","Кубки","На этой карте изображен пожилой мужчина с нежным, чутким присутствием, вероятно, родившийся между 9 февраля и 10 марта, который известен своей справедливостью и терпимостью","","",""
37,"1","Туз мечей","Мечи","Пришло время делать выбор","Перестань колебаться и делай то, что знаешь лучше всего","",""
38,"2","2 мечей","Мечи","Иногда единственный способ победить - это отказаться от борьбы","Вы сейчас застряли; дайте время пройти, прежде чем действовать","",""
39,"3","3 мечей","Мечи","Расставания и измены изобилуют","Но то, что болит сейчас, позже окажется для тебя на пользу","",""
40,"4","4 мечей","Мечи","Не принимайте сейчас никакого решения","Подождите, и вы будете рады, что сделали","",""
41,"5","5 мечей","Мечи","Кто-то ворует у вас финансово или романтически","Остерегайтесь друзей, которые говорят за вашей спиной","",""
42,"6","6 мечей","Мечи","Скоро ты отправишься в дальний путь по воде","Действия имеют неожиданные последствия, так что будьте готовы","",""
43,"7","7 мечей","Мечи","Не думайте, что окружающие вас люди достойны вашей трофеи, где люди были и что они делали","","",""
44,"8","8 мечей","Мечи","Перестань изображать жертву","Как только вы поймете, что сами являетесь самым большим препятствием, ничто не сможет вас сдержать","",""
45,"9","9 мечей","Мечи","Если вы примете меры, которые обдумываете сейчас, вы пожалеете в будущем","","",""
46,"10","10 мечей","Мечи","Катастрофа","Отложите планы и не предпринимайте действий, пока не улучшатся приметы","",""
47,"11","Паж мечей","Мечи","На этой карте изображен молодой мужчина или женщина с легким интеллектуальным поведением, вероятно, рожденный Козерогом, Водолеем или Рыбами, который хочет узнать от вас что-то новое или поговорить с вами","","",""
48,"12","Рыцарь мечей","Мечи","Ошибка заставляет кого-то сказать то, о чем он или она сожалеет","Если это были вы, будьте готовы извиниться и двигаться дальше","",""
49,"13","Королева мечей","Мечи","На этой карте изображена женщина с артистической, интеллектуальной натурой, родившаяся, вероятно, между 12 сентября и 12 октября, которая использует умное и позитивное общение, чтобы склонить других к своей точке зрения","","",""
50,"14","Король мечей","Мечи","Эта карта представляет собой пожилого человека с проницательным, осознанным духом, вероятно, родившегося между 11 мая и 10 июня, известного своей честностью и способностью принимать острые решения","","",""
51,"1","Туз жезлов","Жезлы","Кто-то запал на тебя","Новое предложение работы приближается","Иди мягко, неси большую палку",""
52,"2","2 жезлов","Жезлы","Остерегайтесь ложных друзей","Не будь мучительным; говори, что думаешь, и делай то, что хочешь делать","",""
53,"3","3 жезлов","Жезлы","Скоро ты будешь планировать поездку","Будьте начеку: ваш корабль приближается","",""
54,"4","4 жезлов","Жезлы","Кто-то смотрит и оценивает вашу работу","Возможно, скоро вы получите приглашение на свадьбу","",""
55,"5","5 жезлов","Жезлы","Готовься к бою со своим лучшим другом","Помните: если вы позволите словам вырваться наружу, вы не сможете их вернуть","",""
56,"6","6 жезлов","Жезлы","Кто-то планирует для вас вечеринку, но не все так довольны вашим недавним успехом","Берегись завистливых друзей","",""
57,"7","7 жезлов","Жезлы","Не удивляйтесь личному нападению","Приготовьтесь защищать себя или кого-то, кого любите","",""
58,"8","8 жезлов","Жезлы","Следите за неожиданным письмом по почте","Весь ваш мир вот-вот перевернется на ухо","",""
59,"9","9 жезлов","Жезлы","Не расслабляйся, это еще не все","Испытание, с которым вы столкнулись сейчас, происходит по одной причине: чтобы показать вам, кто ваши настоящие друзья","",""
60,"10","10 жезлов","Жезлы","Ты устал","Отойди, сделай тайм-аут и позволь кому-нибудь еще разобраться с делом","",""
61,"11","Паж жезлов","Жезлы","На этой карте изображен молодой мужчина или женщина с пылким, восторженным поведением, вероятно, рожденные Раком, Львом или Девой, которые хотят начать с вами новые отношения","","",""
62,"12","Рыцарь жезлов","Жезлы","Эта карта изображает смелого и страстного человека, родившегося между 12 июля и 11 августа, который хочет сбить вас с ног","","",""
63,"13","Королева жезлов","Жезлы","Эта карта представляет женщину с привлекательной, привлекательной личностью, которая, вероятно, родилась между 11 марта и 20 апреля, и которая хочет очаровать вас, заставляя делать все по-своему","","",""
64,"14","Король жезлов","Жезлы","На этой карте изображен пожилой мужчина с властным, харизматическим характером, вероятно, родившийся между 13 ноября и 12 декабря, который предпочитает давать указания и следовать им","","",""
65,"1","Туз пентаклей","Пентакли","Ваше здоровье улучшится","Чек, который вы ищете, действительно пришёл по почте","",""
66,"2","2 пентаклей","Пентакли","Пора сбалансировать бюджет","Избегайте соблазна потратить критические средства на несерьезные товары","",""
67,"3","3 пентаклей","Пентакли","В вашем будущем высокодолларовый контракт","Если вы будете много работать, у вас все получится","",""
68,"4","4 пентаклей","Пентакли","Наступает дождливый день, пора экономить","","",""
69,"5","5 пентаклей","Пентакли","Финансы сужаются","Готовьтесь к неудаче","",""
70,"6","6 пентаклей","Пентакли","Когда тебе понадобится помощь, попроси ее","Однако помните: то, что вы получаете, может быть ограничено тем, что вы давали другим в прошлом","",""
71,"7","7 пентаклей","Пентакли","Дела не пойдут так, как ожидалось","Собери осколки и приготовься двигаться дальше","",""
72,"8","8 пентаклей","Пентакли","Прекратите чрезмерно анализировать, исследовать и обрисовывать в общих чертах","Пристегнись и делай работу","",""
73,"9","9 пентаклей","Пентакли","Пока вы не оцените то, что у вас есть, вам не повезет получить больше","","",""
74,"10","10 пентаклей","Пентакли","В ближайшем будущем большие деньги","Ожидайте могущественного благословения на вашем пути","",""
75,"11","Паж пентаклей","Пентакли","На этой карте изображен молодой мужчина или женщина с приземленным, практичным поведением, вероятно, рожденный Овном, Тельцом или Близнецом, который в шутку побуждает вас идти на финансовый или сексуальный риск","","",""
76,"12","Рыцарь пентаклей","Пентакли","Скупой может упрекнуть за трату денег","Будьте готовы отстаивать свое экономическое или сексуальное решение","",""
77,"13","Королева пентаклей","Пентакли","Эта карта изображает женщину с чувственным характером, которая, вероятно, родилась между 13 и 31 декабря, которая использует чувственную привлекательность и обещание награды, чтобы склонить других к своей точке зрения","","",""
78,"14","Король пентаклей","Пентакли","Эта карта представляет собой пожилого человека с консервативным финансовым, социальным и политическим духом, который, вероятно, родился между 12 августа и 11 сентября и известен тем, что вкладывает деньги туда, куда ему нужно","","",""
